Config,Name,N,Mean,Std Dev,Var,Std Err,Min ConfInt t95,Max ConfInt t95,Min ConfInt t90,Max ConfInt t90
Second-n4,lifeTimeU2:mean,4,11.506,1.915,3.667,0.428,10.613,12.4,10.768,12.245
Second-n4,lifeTimeU2:min,4,0.001,0.001,0.0,0.0,0.001,0.002,0.001,0.002
Second-n5,lifeTime:max,5,88.247,15.576,242.614,3.483,80.982,95.512,82.239,94.255
Second-n5,lifeTime:mean,5,5.049,0.307,0.094,0.069,4.905,5.192,4.93,5.167
Second-n5,lifeTime:min,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Second-n5,lifeTimeU1:max,5,22.232,3.027,9.16,0.677,20.82,23.644,21.064,23.399
Second-n5,lifeTimeU1:mean,5,2.831,0.08,0.006,0.018,2.794,2.869,2.801,2.862
Second-n5,lifeTimeU1:min,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Second-n5,lifeTimeU2:max,5,88.247,15.576,242.614,3.483,80.982,95.512,82.239,94.255
Second-n5,lifeTimeU2:mean,5,8.736,0.712,0.507,0.159,8.403,9.068,8.461,9.01
Second-n5,lifeTimeU2:min,5,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001
Third-n2,lifeTime:max,2,11475.382,886.64,786130.79,198.259,11061.814,11888.95,11133.385,11817.378
Third-n2,lifeTime:mean,2,1644.234,110.556,12222.574,24.721,1592.666,1695.802,1601.591,1686.878
Third-n2,lifeTime:min,2,0.077,0.046,0.002,0.01,0.055,0.099,0.059,0.095
Third-n2,lifeTimeU1:max,2,62.928,10.091,101.834,2.256,58.221,67.635,59.035,66.82
Third-n2,lifeTimeU1:mean,2,10.86,0.699,0.488,0.156,10.534,11.186,10.591,11.129
Third-n2,lifeTimeU1:min,2,0.084,0.046,0.002,0.01,0.063,0.105,0.066,0.102
Third-n2,lifeTimeU2:max,2,11475.382,886.64,786130.79,198.259,11061.814,11888.95,11133.385,11817.378
Third-n2,lifeTimeU2:mean,2,5616.61,529.442,280308.986,118.387,5369.655,5863.565,5412.393,5820.827
Third-n2,lifeTimeU2:min,2,6.105,6.855,46.986,1.533,2.908,9.302,3.461,8.749
Third-n3,lifeTime:max,3,8160.334,767.799,589515.265,171.685,7802.199,8518.469,7864.177,8456.491
Third-n3,lifeTime:mean,3,1333.49,134.534,18099.349,30.083,1270.738,1396.243,1281.598,1385.383
Third-n3,lifeTime:min,3,0.071,0.033,0.001,0.007,0.055,0.086,0.058,0.083
Third-n3,lifeTimeU1:max,3,55.33,8.123,65.99,1.816,51.54,59.119,52.196,58.463
Third-n3,lifeTimeU1:mean,3,9.304,0.478,0.228,0.107,9.081,9.527,9.12,9.488
Third-n3,lifeTimeU1:min,3,0.071,0.033,0.001,0.007,0.055,0.086,0.058,0.083
Third-n3,lifeTimeU2:max,3,8160.334,767.799,589515.265,171.685,7802.199,8518.469,7864.177,8456.491
Third-n3,lifeTimeU2:mean,3,4056.387,466.861,217958.874,104.393,3838.623,4274.151,3876.309,4236.465
Third-n3,lifeTimeU2:min,3,4.561,9.678,93.671,2.164,0.046,9.075,0.827,8.294
Third-n4,lifeTime:max,4,6525.21,643.01,413462.102,143.781,6225.281,6825.138,6277.187,6773.233
